lambda_air[angstrom], lambda_vac[nm], transition
7246.615, 724.8612055122244, 8-3_R2f(4.5)
7253.122, 725.5120809093355, 8-3_R2f(0.5)
7253.132, 725.5130811788898, 8-3_R2e(0.5)
7255.261, 725.726038567206, 8-3_R2e(5.5)
7255.312, 725.7311399419427, 8-3_R2f(5.5)
7255.835, 725.7834540397471, 8-3_R1e(6.5)
7255.945, 725.7944570048713, 8-3_R1f(6.5)
7275.048, 727.7052719553845, 8-3_Q2f(0.5)
7275.168, 727.7172751902696, 8-3_Q2e(0.5)
7276.387, 727.8392080513788, 8-3_Q1f(1.5)
7276.423, 727.8428090218484, 8-3_Q1e(1.5)
7281.460, 728.3466448078311, 8-3_Q2f(1.5)
7281.664, 728.3670503072508, 8-3_Q2e(1.5)
7284.372, 728.637923309696, 8-3_Q1f(2.5)
7284.506, 728.6513269220937, 8-3_Q1e(2.5)
7285.698, 728.7705590563269, 7-2_P2f(11.5)
7286.474, 728.8481799759953, 7-2_P2e(11.5)
7289.710, 729.171867213736, 7-2_P1e(12.5)
7290.986, 729.2995016130474, 7-2_P1f(12.5)
7295.786, 729.7796310161169, 8-3_Q1f(3.5)
7296.092, 729.8102392656306, 8-3_Q1e(3.5)
7303.679, 730.5691438076501, 8-3_P2e(1.5)
7303.753, 730.5765458026805, 8-3_P2f(1.5)
7310.776, 731.2790351440184, 8-3_Q1f(4.5)
7311.331, 731.3345501070999, 8-3_Q1e(4.5)
7316.246, 731.8261826191548, 8-3_P1e(2.5)
7316.318, 731.8333845603439, 8-3_P1f(2.5)
7329.122, 733.1141297755651, 8-3_P2e(2.5)
7329.173, 733.1192311506305, 8-3_P2f(2.5)
7340.812, 734.28344496795, 8-3_P1e(3.5)
7340.957, 734.2979488775952, 8-3_P1f(3.5)
7346.944, 734.8968103070684, 7-2_P2f(12.5)
7347.861, 734.9885350327144, 7-2_P2e(12.5)
7350.640, 735.2665099650709, 7-2_P1e(13.5)
7352.104, 735.4129494403152, 7-2_P1f(13.5)
7358.657, 736.0684261374059, 8-3_P2e(3.5)
7358.662, 736.0689262722289, 8-3_P2f(3.5)
7369.248, 737.1278117240488, 8-3_P1e(4.5)
7369.483, 737.1513180609386, 8-3_P1f(4.5)
7392.169, 739.4205298218599, 8-3_P2f(4.5)
7392.228, 739.4264314129367, 8-3_P2e(4.5)
7401.688, 740.3726865283379, 8-3_P1e(5.5)
7402.029, 740.4067957244974, 8-3_P1f(5.5)
7412.690, 741.4731832374486, 7-2_P2f(13.5)
7413.759, 741.5801120674724, 7-2_P2e(13.5)
7416.112, 741.8154755262212, 7-2_P1e(14.5)
7417.776, 741.9819204034027, 7-2_P1f(14.5)
7429.712, 743.1758423175713, 8-3_P2f(5.5)
7429.849, 743.1895460125321, 8-3_P2e(5.5)
7438.243, 744.0291724059962, 8-3_P1e(6.5)
7438.702, 744.0750847857911, 8-3_P1f(6.5)
7461.206, 746.3260917674473, 4-0_R1f(5.5)
7461.271, 746.332593520698, 4-0_R1e(5.5)
7462.385, 746.4440235687681, 4-0_R1f(4.5)
7462.464, 746.4519256996493, 4-0_R1e(4.5)
7464.830, 746.6885895184308, 4-0_R2e(3.5)
7464.906, 746.6961915684076, 4-0_R2f(3.5)
7466.569, 746.8625364252543, 4-0_R1f(3.5)
7466.652, 746.8708386640566, 4-0_R1e(3.5)
7470.682, 747.2739473680128, 4-0_R2e(2.5)
7470.732, 747.2789487167056, 4-0_R2f(2.5)
7471.359, 747.3416656293276, 8-3_P2f(6.5)
7471.586, 747.3643717524058, 8-3_P2e(6.5)
7473.642, 747.5700272109606, 4-0_R1f(2.5)
7473.714, 747.5772291530949, 4-0_R1e(2.5)
7479.015, 748.1074721438989, 8-3_P1e(7.5)
7479.605, 748.1664880588802, 8-3_P1f(7.5)
7480.247, 748.2307053765699, 4-0_R2e(1.5)
7480.258, 748.2318056732906, 4-0_R2f(1.5)
7483.451, 748.5511918036649, 4-0_R1f(1.5)
7483.501, 748.5561931524088, 4-0_R1e(1.5)
7493.653, 749.5716670055378, 4-0_R2f(0.5)
7493.687, 749.5750679227115, 4-0_R2e(0.5)
7517.212, 751.9282025480505, 8-3_P2f(7.5)
7517.540, 751.9610113966974, 8-3_P2e(7.5)
7522.579, 752.4650473378038, 4-0_Q2f(0.5)
7522.740, 752.4811516812618, 4-0_Q2e(0.5)
7523.967, 752.6038847833348, 4-0_Q1f(1.5)
7524.021, 752.6092862401526, 4-0_Q1e(1.5)
7524.111, 752.6182886681826, 8-3_P1e(8.5)
7524.844, 752.691608443162, 8-3_P1f(8.5)
7530.615, 753.2688641355077, 4-0_Q1f(2.5)
7530.811, 753.2884694233202, 4-0_Q1e(2.5)
7540.160, 754.2236216500854, 4-0_Q1f(3.5)
7540.602, 754.2678335749777, 4-0_Q1e(3.5)
7552.729, 755.4808607600564, 4-0_Q1f(4.5)
7553.521, 755.5600821285258, 4-0_Q1e(4.5)
7557.454, 755.9534882431262, 4-0_P2e(1.5)
7557.530, 755.9610902936618, 4-0_P2f(1.5)
7567.402, 756.9485566512521, 8-3_P2f(8.5)
7567.842, 756.9925685231199, 8-3_P2e(8.5)
7571.699, 757.3783725914743, 4-0_P1e(2.5)
7571.792, 757.3876751007853, 4-0_P1f(2.5)
7573.651, 757.57362526016, 8-3_P1e(9.5)
7574.542, 757.6627493011388, 8-3_P1f(9.5)
7586.077, 758.8165605442512, 4-0_P2e(2.5)
7586.109, 758.8197614077054, 4-0_P2f(2.5)
7598.356, 760.0447918735833, 4-0_P1e(3.5)
7598.530, 760.0621965687803, 4-0_P1f(3.5)
7618.034, 762.0131228772191, 4-0_P2f(3.5)
7618.067, 762.0164237677366, 4-0_P2e(3.5)
7622.077, 762.417531979742, 8-3_P2f(9.5)
7622.642, 762.4740472266685, 8-3_P2e(9.5)
7627.771, 762.9870856374844, 8-3_P1e(10.5)
7628.489, 763.0589050135382, 4-0_P1e(4.5)
7628.489, 763.0589050135382, 4-0_P1e(4.5)
7628.759, 763.0859122998082, 4-0_P1f(4.5)
7628.759, 763.0859122998082, 4-0_P1f(4.5)
7628.834, 763.0934143237729, 8-3_P1f(10.5)
7662.175, 766.4284141124707, 4-0_P1e(5.5)
7662.549, 766.4658242062502, 4-0_P1f(5.5)
7681.410, 768.3524332538844, 8-3_P2f(10.5)
7682.112, 768.422652200973, 8-3_P2e(10.5)
7686.627, 768.8742740623896, 8-3_P1e(11.5)
7687.878, 768.9994078275798, 8-3_P1f(11.5)
7691.813, 769.3930140361838, 4-0_P2f(5.5)
7692.009, 769.4126193264007, 4-0_P2e(5.5)
7699.461, 770.1580204647029, 4-0_P1e(6.5)
7699.947, 770.2066335825597, 4-0_P1f(6.5)
7712.206, 771.4328644767743, 9-4_R1f(3.5)
7712.209, 771.4331645577513, 9-4_R1e(3.5)
7712.605, 771.4727752467435, 9-4_R1f(2.5)
7712.626, 771.4748758135843, 9-4_R1e(2.5)
7715.011, 771.7134401907144, 9-4_R2e(2.5)
7715.086, 771.7209422151592, 9-4_R2f(2.5)
7715.824, 771.7947621357177, 9-4_R1e(4.5)
7715.859, 771.7982630804607, 9-4_R1f(4.5)
7716.874, 771.8997904780441, 9-4_R2e(3.5)
7716.892, 771.9015909639132, 9-4_R1f(1.5)
7716.915, 771.9038915847461, 9-4_R1e(1.5)
7716.964, 771.90879290739, 9-4_R2f(3.5)
7718.028, 772.0152216277031, 9-4_R2e(1.5)
7718.072, 772.019622815387, 9-4_R2f(1.5)
7723.525, 772.565070008301, 9-4_R2e(4.5)
7723.611, 772.5736723297176, 9-4_R2f(4.5)
7723.625, 772.5750727076226, 9-4_R1e(5.5)
7723.715, 772.5840751370129, 9-4_R1f(5.5)
7726.040, 772.8166378964631, 9-4_R2e(0.5)
7726.041, 772.8167379234565, 9-4_R2f(0.5)
7733.773, 773.5901466385636, 4-0_P2f(6.5)
7734.063, 773.619154466814, 4-0_P2e(6.5)
7734.913, 773.704177411721, 9-4_R2e(5.5)
7734.978, 773.7106791663336, 9-4_R2f(5.5)
7735.747, 773.7875999247747, 9-4_R1e(6.5)
7735.910, 773.8039043248135, 9-4_R1f(6.5)
7749.364, 775.1496675101092, 9-4_Q2f(0.5)
7749.486, 775.1618708035096, 9-4_Q2e(0.5)
7750.622, 775.2755014699774, 9-4_Q1f(1.5)
7750.658, 775.2791024418035, 9-4_Q1e(1.5)
7756.756, 775.8890670597046, 9-4_Q2f(1.5)
7756.964, 775.9098726747932, 9-4_Q2e(1.5)
7759.929, 776.206452717138, 9-4_Q1f(2.5)
7760.063, 776.2198563345809, 9-4_Q1e(2.5)
